Timestamp,Container,CPU_Percent,Memory_MB
2026-04-07T00:59:40,waf-dissertation-waf-1,13.25,47.82
2026-04-07T00:59:40,waf-dissertation-juiceshop-1,3.46,115.4
2026-04-07T00:59:44,waf-dissertation-waf-1,6.01,48.36
2026-04-07T00:59:44,waf-dissertation-juiceshop-1,1.46,118.1
2026-04-07T00:59:49,waf-dissertation-waf-1,27.06,48.43
2026-04-07T00:59:49,waf-dissertation-juiceshop-1,1.24,118.1
2026-04-07T00:59:55,waf-dissertation-waf-1,5.78,49.18
2026-04-07T00:59:55,waf-dissertation-juiceshop-1,1.23,118.2
2026-04-07T01:00:00,waf-dissertation-waf-1,5.66,49.42
2026-04-07T01:00:00,waf-dissertation-juiceshop-1,1.29,118.2
2026-04-07T01:00:04,waf-dissertation-waf-1,9.34,49.46
2026-04-07T01:00:04,waf-dissertation-juiceshop-1,2.57,118.2
2026-04-07T01:00:10,waf-dissertation-waf-1,4.10,48.8
2026-04-07T01:00:10,waf-dissertation-juiceshop-1,74.96,132.8
2026-04-07T01:00:15,waf-dissertation-waf-1,3.16,49.04
2026-04-07T01:00:15,waf-dissertation-juiceshop-1,41.77,149.0
2026-04-07T01:00:20,waf-dissertation-waf-1,5.08,49.02
2026-04-07T01:00:20,waf-dissertation-juiceshop-1,85.43,149.5
2026-04-07T01:00:24,waf-dissertation-waf-1,3.98,49.47
2026-04-07T01:00:24,waf-dissertation-juiceshop-1,58.55,150.4
2026-04-07T01:00:30,waf-dissertation-waf-1,8.92,49.03
2026-04-07T01:00:30,waf-dissertation-juiceshop-1,39.01,150.6
2026-04-07T01:00:35,waf-dissertation-waf-1,4.49,49.56
2026-04-07T01:00:35,waf-dissertation-juiceshop-1,65.29,150.8
2026-04-07T01:00:40,waf-dissertation-waf-1,4.16,49.1
2026-04-07T01:00:40,waf-dissertation-juiceshop-1,78.43,151.8
2026-04-07T01:00:45,waf-dissertation-waf-1,4.08,49.34
2026-04-07T01:00:45,waf-dissertation-juiceshop-1,54.14,180.7
2026-04-07T01:00:50,waf-dissertation-waf-1,4.35,49.29
2026-04-07T01:00:50,waf-dissertation-juiceshop-1,73.71,182.2
2026-04-07T01:00:54,waf-dissertation-waf-1,8.71,49.52
2026-04-07T01:00:54,waf-dissertation-juiceshop-1,65.90,182.3
2026-04-07T01:01:00,waf-dissertation-waf-1,4.20,49.54
2026-04-07T01:01:00,waf-dissertation-juiceshop-1,79.93,182.6
2026-04-07T01:01:04,waf-dissertation-waf-1,4.25,49.07
2026-04-07T01:01:04,waf-dissertation-juiceshop-1,55.43,182.5
2026-04-07T01:01:09,waf-dissertation-waf-1,4.39,49.07
2026-04-07T01:01:09,waf-dissertation-juiceshop-1,57.31,183.1
2026-04-07T01:01:13,waf-dissertation-waf-1,4.90,49.33
2026-04-07T01:01:13,waf-dissertation-juiceshop-1,72.45,182.9
2026-04-07T01:01:19,waf-dissertation-waf-1,9.14,49.33
2026-04-07T01:01:19,waf-dissertation-juiceshop-1,59.44,183.5
2026-04-07T01:01:24,waf-dissertation-waf-1,11.72,49.75
2026-04-07T01:01:24,waf-dissertation-juiceshop-1,1.60,185.1
